Number,Holding,Ticker,Shares,Market Value,% of net assets
190,Fiserv Inc,FISV US,9194,€874649.00,0.32%
191,Deutsche Boerse Ag,DB1 GR,6416,€866481.00,0.32%
192,Csl Ltd,CSL AU,4917,€865026.00,0.32%
193,Bristol-Myers Squibb Co,BMY US,16986,€862918.00,0.32%
194,Wells Fargo & Co,WFC US,28050,€861877.00,0.32%
195,Colgate-Palmolive Co,CL US,13703,€859689.00,0.32%
196,Transurban Group,TCL AU,104405,€859076.00,0.32%
197,Altria Group Inc,MO US,23345,€852329.00,0.32%
198,Cigna Corp,CI US,4975,€851985.00,0.32%
199,Novartis Ag,NOVN SW,11881,€850462.00,0.31%
