Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
17568801,Zealot: The Life and Times of Jesus of Nazareth,Reza Aslan,"Aslan, Reza",,"=""140006922X""","=""9781400069224""",4,3.84,Random House (NY),Hardcover,296,2013,2013,2016/04/18,2016/04/17,,,read,,,,1,,,0,,,,,
18505802,"Console Wars: Sega, Nintendo, and the Battle that Defined a Generation",Blake J. Harris,"Harris, Blake J.",,"=""0062276697""","=""9780062276698""",0,3.93,It Books,Hardcover,576,2014,2014,,2016/04/18,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,"=""055357342X""","=""9780553573428""",5,4.54,Bantam,Mass Market Paperback,1177,2003,2000,2016/04/03,2016/01/27,,,read,,,,1,,,0,,,,,
104342,"Grass (Arbai, #1)",Sheri S. Tepper,"Tepper, Sheri S.",,"=""1857987985""","=""9781857987980""",0,4.04,Gollancz,Paperback,544,2002,1989,,2016/04/02,to-read,to-read (#62),to-read,,,,0,,,0,,,,,
24034941,The Kaleidoscope: The Gift of Madness,Adrian Mendoza,"Mendoza, Adrian",,"=""1505209358""","=""9781505209358""",0,3.88,Self-publish,Paperback,184,2014,2014,,2016/03/26,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",,"=""0307352145""","=""9780307352149""",4,4.06,"Crown Publishing Group/Random House, Inc.",Hardcover,333,2012,2012,2016/03/23,2016/03/16,,,read,,,,1,,,0,,,,,
21856367,"The Innovators: How a Group of  Hackers, Geniuses and Geeks Created the Digital Revolution",Walter Isaacson,"Isaacson, Walter",,"=""147670869X""","=""9781476708690""",0,4.09,Simon and Schuster,Hardcover,528,2014,2014,,2016/03/20,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
24331386,The View from the Cheap Seats: Selected Nonfiction,Neil Gaiman,"Gaiman, Neil",,"=""0062262262""","=""9780062262264""",0,4.00,William Morrow,Hardcover,522,2016,2016,,2016/03/01,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
7679810,The Way We're Working Isn't Working: The Four Forgotten Needs That Energize Great Performance,Tony Schwartz,"Schwartz, Tony","Jean Gomes, Catherine McCarthy","=""1439127662""","=""9781439127667""",0,3.98,Free Press,Hardcover,352,2010,2010,,2016/02/28,to-read,to-read (#58),to-read,,,,0,,,0,,,,,
15766601,The World Until Yesterday: What Can We Learn from Traditional Societies?,Jared Diamond,"Diamond, Jared",,"=""0670024813""","=""9780670024810""",2,3.72,Viking,Hardcover,512,2012,2012,2016/02/27,2016/02/23,,,read,,,,1,,,0,,,,,
3965956,On Being Free,Frithjof Bergmann,"Bergmann, Frithjof",,"=""0268014922""","=""9780268014926""",0,4.47,University of Notre Dame Press,Hardcover,256,1977,1977,,2016/02/26,to-read,to-read (#57),to-read,,,,0,,,0,,,,,
25010789,New Work Life: New Work New Culture: New Business Enterprise,Frithjof Bergmann,"Bergmann, Frithjof",,"=""""","=""""",0,4.00,,Kindle Edition,75,2014,2014,,2016/02/26,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
6617037,"Debt: The First 5,000 Years",David Graeber,"Graeber, David",,"=""1933633867""","=""9781933633862""",3,4.15,Melville House Publishing,Hardcover,534,2011,2011,2016/02/23,2016/02/17,,,read,,,,1,,,0,,,,,
164323,"The Google Story: Inside the Hottest Business, Media, and Technology Success of Our Time",David A. Vise,"Vise, David A.",,"=""0553383663""","=""9780553383669""",2,3.85,Delta,Paperback,336,2008,2005,2016/02/08,2016/02/03,,,read,,,,1,,,0,,,,,
10840041,A Planet of Viruses,Carl Zimmer,"Zimmer, Carl",,"=""0226983358""","=""9780226983356""",3,3.99,University Of Chicago Press,Hardcover,122,2011,2011,2016/01/28,2016/01/28,,,read,,,,1,,,0,,,,,
6452796,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,"Pink, Daniel H.",,"=""1594488843""","=""9781594488849""",3,3.94,Riverhead Books,Hardcover,242,2009,2009,2016/01/28,2016/01/27,,,read,,,,1,,,0,,,,,
